symbol,strategy,current_price,strike_price,expiration_date,days_to_expiration,premium_per_share,premium_total,capital_required,return_percentage,volume,open_interest,implied_volatility,pe_ratio,pb_ratio,peg_ratio,ps_ratio,market_cap,dividend_yield,ev_ebitda
LLY,Cash-Secured Put,764.36,765.0,2025-10-31,31,34.55,3454.9999999999995,76500.0,4.516339869281045,7.0,8,0.39304195831298827,49.860405,37.5146,,12.865943,685215711232,0.83,27.799
AMZN,Covered Call,219.845,220.0,2025-10-31,31,9.3,930.0000000000001,21984.5,4.230253132889081,1666.0,3047,0.36676658630371095,33.209217,7.021334,,3.4992454,2344627470336,,18.201
AMZN,Cash-Secured Put,219.845,220.0,2025-10-31,31,9.15,915.0,22000.0,4.159090909090909,353.0,2216,0.3534000207519531,33.209217,7.021334,,3.4992454,2344627470336,,18.201
NVDA,Cash-Secured Put,185.7044,185.0,2025-10-31,31,7.4,740.0,18500.0,4.0,2771.0,4846,0.3560245062255859,51.868717,45.147095,,27.365938,4520994668544,0.02,44.492
GOOG,Covered Call,243.265,245.0,2025-10-31,31,9.6,960.0,24326.5,3.9463136908309866,298.0,462,0.36926900268554685,26.270517,8.113431,,8.001512,2971753250816,0.34,20.603
MSFT,Covered Call,517.12,515.0,2025-10-31,31,18.3,1830.0,51712.0,3.5388304455445545,257.0,524,0.28745219390869137,37.6361,11.192105,,13.643989,3843838967808,0.71,24.55
AAPL,Covered Call,254.2,255.0,2025-10-31,31,7.7,770.0,25420.0,3.029110936270653,651.0,2887,0.27411614562988285,38.750183,57.36881,,9.269376,3787716820992,0.41,26.974
XOM,Covered Call,112.325,112.0,2025-10-31,31,3.4,340.0,11232.5,3.0269307812152237,53.0,185,0.25171646728515623,16.373905,1.8236058,,1.4900634,491446763520,3.38,8.319
AAPL,Cash-Secured Put,254.2,255.0,2025-10-31,31,7.65,765.0,25500.0,3.0,384.0,1103,0.2459181854248047,38.750183,57.36881,,9.269376,3787716820992,0.41,26.974
MSFT,Cash-Secured Put,517.12,515.0,2025-10-31,31,14.1,1410.0,51500.0,2.737864077669903,115.0,140,0.25333388275146485,37.6361,11.192105,,13.643989,3843838967808,0.71,24.55
XOM,Cash-Secured Put,112.325,112.0,2025-10-31,31,2.45,245.00000000000003,11200.0,2.1875,41.0,82,0.2030108996582031,16.373905,1.8236058,,1.4900634,491446763520,3.38,8.319
